N_train,M,centre_seed,feature_kind,reg_strength,std_mse_train,std_mse_val,std_mse_test,mse_component_val,elapsed_seconds
100,10,0,raw_periodic_kernel,0.001,0.5623457101065809,0.563449889237037,0.6273098705374803,[0.09427    0.81349022 0.1755222  6.48097426],0.0006632497534155846
100,10,1,raw_periodic_kernel,0.001,0.5363051310737849,0.5993889747456717,0.6963129001395086,[0.09060084 0.87454464 0.22478302 6.67516555],0.00037508271634578705
100,20,0,raw_periodic_kernel,0.001,0.3680169149062456,0.4015916448499748,0.6769221189506971,[0.04693775 0.64457315 0.0756647  5.01611245],0.0006553744897246361
100,20,1,raw_periodic_kernel,0.001,0.38697250202790373,0.44834733418004225,0.5508036384811359,[0.04103784 0.77309013 0.0827555  5.45156837],0.0004752911627292633
100,40,0,raw_periodic_kernel,0.001,0.15143576282085244,0.30058798919962393,0.5265319704676428,[0.01813727 0.52716522 0.0375871  3.95182962],0.004620165564119816
100,40,1,raw_periodic_kernel,0.001,0.181120433330468,0.3077981049305849,0.5109896702339898,[0.00992645 0.64578835 0.02637894 3.54084537],0.00968933291733265
100,80,0,raw_periodic_kernel,0.001,0.026634592902497003,0.20998474637804018,0.3113004022210012,[0.00595242 0.3454637  0.01655251 3.16459219],0.00266354251652956
100,80,1,raw_periodic_kernel,0.001,0.017044713707691974,0.23079986593434718,0.334666302352874,[0.00735019 0.34512891 0.02023077 3.70350775],0.0013819169253110886
200,10,0,raw_periodic_kernel,0.001,0.5892217064234373,0.5947943847387603,0.5938624446822997,[0.09558115 0.84946633 0.20328497 6.4549432 ],0.0003115413710474968
200,10,1,raw_periodic_kernel,0.001,0.6240269517396717,0.608047191088504,0.5940161722079503,[0.09130814 0.84345947 0.24477316 6.59481246],0.00029854197055101395
200,20,0,raw_periodic_kernel,0.001,0.39904148203415063,0.3886544414123098,0.4542679322048045,[0.0461366  0.68738784 0.07891423 3.97044693],0.0005507925525307655
200,20,1,raw_periodic_kernel,0.001,0.31697406034096703,0.3764985951899034,0.39208717005116783,[0.04364698 0.66606426 0.08758998 3.76325092],0.0006029577925801277
200,40,0,raw_periodic_kernel,0.001,0.1980652210412082,0.256436973981631,0.36212332381519013,[0.01229096 0.436297   0.01974626 3.44137076],0.0014473749324679375
200,40,1,raw_periodic_kernel,0.001,0.1797937467101945,0.2658621272420781,0.3670441235765447,[0.01909263 0.39754619 0.0438063  3.66940206],0.002144833095371723
200,80,0,raw_periodic_kernel,0.001,0.08057379828831668,0.18937321408122607,0.23601604239091298,[0.0044649  0.30784934 0.01721641 2.73147212],0.0027594156563282013
200,80,1,raw_periodic_kernel,0.001,0.057840791512449884,0.1856155615547107,0.21507451637507613,[0.00286429 0.3044953  0.01423942 2.71068827],0.003088291734457016
300,10,0,raw_periodic_kernel,0.001,0.5726133672474939,0.5659991136497244,0.5767185894416571,[0.05605684 0.87334024 0.12847133 5.98872304],0.0008220421150326729
300,10,1,raw_periodic_kernel,0.001,0.5622642016158629,0.5507394162391828,0.580043047619044,[0.0892034  0.75433436 0.15123261 5.73569681],0.0003697909414768219
300,20,0,raw_periodic_kernel,0.001,0.4189085838189385,0.46636043505234054,0.530278227915763,[0.04949178 0.72983068 0.07999652 5.02130559],0.0007396256551146507
300,20,1,raw_periodic_kernel,0.001,0.4153652681301944,0.485018326936978,0.5465006975319169,[0.03310708 0.75294923 0.08644443 5.61278105],0.0006711659952998161
300,40,0,raw_periodic_kernel,0.001,0.2530290974069652,0.3229956966745985,0.3244199572308834,[0.01736782 0.61015006 0.03011365 3.12367421],0.0015582088381052017
300,40,1,raw_periodic_kernel,0.001,0.1860218341420493,0.26318174247867676,0.2887679360997155,[0.01087    0.49146627 0.02282512 2.67757982],0.0016524586826562881
300,80,0,raw_periodic_kernel,0.001,0.09449016814201396,0.20896160523642415,0.2070403016375156,[0.00474328 0.35146227 0.01745509 2.5544808 ],0.0025796247646212578
300,80,1,raw_periodic_kernel,0.001,0.0858290103759897,0.18714886984026047,0.23600746940344608,[0.00530791 0.30181758 0.01242659 2.41206469],0.005493417382240295
