N_train,M,centre_seed,feature_kind,reg_strength,std_mse_train,std_mse_val,std_mse_test,mse_component_val,elapsed_seconds
100,10,0,sincos_features,0.001,0.5864169552905113,0.6007247883206712,0.6237138605348114,[0.23802837 0.60538538 0.47891188 3.27941235],0.0023931674659252167
100,10,1,sincos_features,0.001,0.5712189236141026,0.6376798352660454,0.7214766011036384,[0.18231423 0.6728943  0.62533882 3.64692291],0.0012957090511918068
100,20,0,sincos_features,0.001,0.3207495379272056,0.3054820131183291,0.5014954283241299,[0.09375908 0.39973488 0.20327063 1.92259062],0.0036111250519752502
100,20,1,sincos_features,0.001,0.43183219385874644,0.45631018219548136,0.48296294846175314,[0.16368168 0.5536169  0.26770537 3.03660468],0.0051857903599739075
100,40,0,sincos_features,0.001,0.14525248401214613,0.23222486504114787,0.33051825857703515,[0.0725509  0.23172323 0.16999343 1.83581078],0.0021294178441166878
100,40,1,sincos_features,0.001,0.20597371085530725,0.31620740494386657,0.3955548918091763,[0.07322499 0.43350758 0.22700288 2.18850637],0.0008778329938650131
100,80,0,sincos_features,0.001,0.04038504620851208,0.15988840500266904,0.2255221585536539,[0.03276019 0.24216705 0.08183317 1.32927683],0.00767150055617094
100,80,1,sincos_features,0.001,0.026223721695651844,0.13529517392258547,0.21510788578450057,[0.04195422 0.16594929 0.06733722 1.13713863],0.0015377495437860489
200,10,0,sincos_features,0.001,0.6031974318783689,0.6062767595677969,0.6234170440920304,[0.20936399 0.61774314 0.49526813 3.60659798],0.0026535000652074814
200,10,1,sincos_features,0.001,0.6721857759335857,0.649990384305243,0.6879476477804625,[0.20707251 0.67280662 0.4287438  5.09277265],0.0017809998244047165
200,20,0,sincos_features,0.001,0.3570177152659629,0.4192859054928764,0.4367936946912333,[0.12746328 0.56480769 0.27072633 2.3904991 ],0.0018220003694295883
200,20,1,sincos_features,0.001,0.3635590678356182,0.39830101795850853,0.40838674566881805,[0.11983176 0.49693823 0.26500609 2.55034118],0.0014362083747982979
200,40,0,sincos_features,0.001,0.19893540928999656,0.2257053373110852,0.29859036947985984,[0.06926149 0.24494947 0.15267611 1.69527149],0.0017602499574422836
200,40,1,sincos_features,0.001,0.18716042163391924,0.2348409270881634,0.3176395026434169,[0.0654555  0.29674485 0.13597446 1.76979908],0.0008633751422166824
200,80,0,sincos_features,0.001,0.07960520442457637,0.147416235156856,0.15472841790871583,[0.04023789 0.18475026 0.08881707 1.10914834],0.0018740836530923843
200,80,1,sincos_features,0.001,0.05509257750446678,0.11335119187582236,0.12823769297694498,[0.02997498 0.14333392 0.0679899  0.86533508],0.0030247503891587257
300,10,0,sincos_features,0.001,0.566093565984353,0.4819588400493596,0.587737801339815,[0.16544758 0.49732988 0.30890668 3.05458327],0.0004155002534389496
300,10,1,sincos_features,0.001,0.593294858878507,0.584374549887129,0.6435396519904196,[0.2323707  0.56958822 0.34581467 3.63671336],0.000394333153963089
300,20,0,sincos_features,0.001,0.3754934879653964,0.4849504912862219,0.4979184735252959,[0.17269968 0.54278902 0.2858655  2.80776702],0.000615166500210762
300,20,1,sincos_features,0.001,0.382625756817716,0.4866777233112686,0.4463084271437061,[0.13265183 0.58387375 0.34962985 2.6909483 ],0.0008180420845746994
300,40,0,sincos_features,0.001,0.23845167418521668,0.30597561739534146,0.31057416903183044,[0.08244463 0.40282774 0.18113308 1.75787312],0.0011758329346776009
300,40,1,sincos_features,0.001,0.20315157585313726,0.23384017814741528,0.2361234887860266,[0.0691063  0.29907088 0.11785951 1.49363278],0.0011257501319050789
300,80,0,sincos_features,0.001,0.08900367759833848,0.15747515134697954,0.13495476310463525,[0.03913976 0.22750202 0.08637844 0.8556676 ],0.0024061668664216995
300,80,1,sincos_features,0.001,0.08077216306558303,0.16382681571071417,0.15710764069458116,[0.04199247 0.22516173 0.07995298 1.06054033],0.010116124525666237
