model,target,test component MSE,test standardised component MSE
raw_linear,Delta x,0.0018331058940889511,0.005158348225357303
raw_linear,Delta x_dot,0.6938817275102616,0.8682477750455019
raw_linear,Delta theta,0.01115776737508947,0.014810128915390545
raw_linear,Delta theta_dot,4.661025246978098,0.6560491816942305
sincos_linear,Delta x,0.0012514351906830143,0.003521530597782346
sincos_linear,Delta x_dot,0.4889834795406663,0.6118604962672298
sincos_linear,Delta theta,0.006350614678994107,0.008429412348016453
sincos_linear,Delta theta_dot,2.4491961465646113,0.34472954824780566
sincos_kernel,Delta x,0.03130964074346832,0.08988062482603094
sincos_kernel,Delta x_dot,0.2017339418063092,0.22792872572371511
sincos_kernel,Delta theta,0.060686638204263746,0.07733025158409718
sincos_kernel,Delta theta_dot,1.1496796771894693,0.15780186919772815
