model,target,test raw component MSE,test standardised component MSE
raw linear,Delta x,0.001563106639311304,0.004381284907413367
raw linear,Delta x_dot,0.6118707571631221,0.6805890773895712
raw linear,Delta theta,0.007151978766231638,0.009049989052144693
raw linear,Delta theta_dot,3.3847132783441607,0.4582061359186446
sin/cos linear,Delta x,0.0012100460957931703,0.0033916794692324505
sin/cos linear,Delta x_dot,0.4754711992604582,0.5288706823158695
sin/cos linear,Delta theta,0.005571823656449747,0.007050488366860713
sin/cos linear,Delta theta_dot,2.2210042269775823,0.300668825100669
sin/cos kernel,Delta x,0.0018207173411967836,0.005103350729266888
sin/cos kernel,Delta x_dot,0.01982968406158939,0.022056727213073602
sin/cos kernel,Delta theta,0.005721887726838055,0.0072403768213044955
sin/cos kernel,Delta theta_dot,0.11748847215292765,0.01590502190676381
