model,target,test raw component MSE,test standardised component MSE
raw linear,Delta x,0.0018189070545300832,0.0052215387554628775
raw linear,Delta x_dot,0.6911275093928775,0.7808691542832722
raw linear,Delta theta,0.011173389574731872,0.014237747425601119
raw linear,Delta theta_dot,4.664925598950223,0.6402948523733543
sin/cos linear,Delta x,0.0012353974991048842,0.0035464571451918475
sin/cos linear,Delta x_dot,0.4857977898515839,0.5488777456526438
sin/cos linear,Delta theta,0.0065788069550860315,0.0083830775935825
sin/cos linear,Delta theta_dot,2.524135210476569,0.3464558539424899
sin/cos kernel,Delta x,0.03130964074346832,0.08988062482603094
sin/cos kernel,Delta x_dot,0.2017339418063092,0.22792872572371511
sin/cos kernel,Delta theta,0.060686638204263746,0.07733025158409718
sin/cos kernel,Delta theta_dot,1.1496796771894693,0.15780186919772815
