model,raw_mse_mean,std_mse_mean,raw_mse_delta_x,raw_mse_delta_x_dot,raw_mse_delta_theta,raw_mse_delta_theta_dot,std_mse_delta_x,std_mse_delta_x_dot,std_mse_delta_theta,std_mse_delta_theta_dot,split,action_limit,effective_force_at_limit,m_centres
sincos_affine,0.6974774375042445,0.2240206803328812,0.0011013993460598566,0.4501662623625059,0.005600237134348638,2.333041851174064,0.0032715764889345873,0.5510258425069752,0.0072093850423430705,0.3345759172932719,train,2.0,1.9933598924991163,160
sincos_sparse_kernel,0.06748493874719237,0.022391079977640845,5.509000815790144e-05,0.046032225969892364,0.0008329310981757048,0.22301950791254352,0.00016363835343589318,0.056345728719016615,0.001072261916135583,0.03198269092197528,train,2.0,1.9933598924991163,160
sincos_affine,0.7351761927607624,0.23402358829880243,0.0011970584250596864,0.4658781944162335,0.006594251506838592,2.467035266694918,0.0035557204689801052,0.5702580269711801,0.008489015203885609,0.35379159055116394,validation,2.0,1.9933598924991163,160
sincos_sparse_kernel,0.08428779746498005,0.028211701413596878,7.017843810801111e-05,0.058259822616364074,0.0011717165507278823,0.27764947225472025,0.00020845675001140106,0.07131291375104777,0.0015083925148226633,0.03981704263850567,validation,2.0,1.9933598924991163,160
sincos_affine,0.6955964725881028,0.21856532569111642,0.001096307683971553,0.4305202066585725,0.006039344716206718,2.3447300312936603,0.003256452308920059,0.5269780954826078,0.007774663896913445,0.33625209107602444,test,2.0,1.9933598924991163,160
sincos_sparse_kernel,0.07427242649616608,0.02533599852981615,6.213475758874782e-05,0.05302815682906742,0.0011005640480733552,0.24289885034993483,0.00018456394839910282,0.0649090952306838,0.0014167953599063831,0.03483353958027531,test,2.0,1.9933598924991163,160
sincos_affine,0.8087955547228909,0.21872342404499173,0.0011635099674141276,0.4522174009425776,0.0071605377538768965,2.7746407702276947,0.0034004095269213387,0.4973785642684911,0.009100450296200624,0.3650142720883538,train,5.0,4.898373248074183,160
sincos_sparse_kernel,0.06697970363086912,0.01955570941113697,5.1247267025975386e-05,0.04329076865458668,0.0008031755912223801,0.22377362301064146,0.00014977241270317665,0.04761404650643204,0.0010207696402527039,0.02943824908515996,train,5.0,4.898373248074183,160
sincos_affine,0.8304752502455237,0.22393070700298762,0.0011395347607686208,0.46196050654321785,0.007207493784698173,2.8515934658934103,0.003330340921262135,0.5080946752917778,0.009160127521471108,0.3751376842774395,validation,5.0,4.898373248074183,160
sincos_sparse_kernel,0.07971620015023145,0.024448237648108093,6.235278336744992e-05,0.056348124905333655,0.0009729064728583869,0.26148141643936634,0.00018222877717494708,0.061975389284489764,0.0012364835300681008,0.034398849000699554,validation,5.0,4.898373248074183,160
sincos_affine,0.8774958453051674,0.2412292703476564,0.0012176070626075763,0.5080830070486781,0.00683222636709351,2.9938505407422906,0.003558510688945245,0.5588232475096165,0.008683193721374093,0.39385212947068976,test,5.0,4.898373248074183,160
sincos_sparse_kernel,0.08200267754322269,0.024084924652726918,7.115833109606101e-05,0.0536666739196466,0.0008987208487590733,0.273374157073389,0.00020796338128210073,0.059026152393920193,0.001142199747478883,0.0359633830882265,test,5.0,4.898373248074183,160
sincos_affine,1.2884939726796787,0.22450381888300142,0.0011440462819094558,0.46151346871897886,0.012800510449471527,4.678517865268355,0.0034760441101701132,0.3645287323249709,0.01606758102439199,0.5139429180724726,train,10.0,9.242343145200195,160
sincos_sparse_kernel,0.07052048790422975,0.016262550322230153,5.66049356542509e-05,0.048394106324566595,0.0008635649048102504,0.23276767545188792,0.00017198714448782258,0.038224328055820954,0.0010839723253718285,0.025569913763240006,train,10.0,9.242343145200195,160
sincos_affine,1.2302590374695492,0.22182846013188517,0.0012313880615873877,0.4849992061016783,0.011631653736694189,4.423173901978237,0.0037414213799729836,0.3830790600100887,0.014600397351319835,0.48589296178615915,validation,10.0,9.242343145200195,160
sincos_sparse_kernel,0.08815678481796929,0.021644994280120216,7.967606873477982e-05,0.06815989533186055,0.0011009562290939777,0.2832866116421878,0.00024208594864255745,0.05383643582427053,0.0013819529686026632,0.03111950237896512,validation,10.0,9.242343145200195,160
