split,model,component,raw_mse,standardised_mse
train,sincos_affine,delta_x,0.0013039678064240738,0.0038634706493485935
train,sincos_affine,delta_x_dot,0.5308828890044206,0.2363541101318361
train,sincos_affine,delta_theta,0.026625376632056476,0.03274837243189412
train,sincos_affine,delta_theta_dot,9.809513609856,0.6567813819053725
train,sincos_sparse_kernel,delta_x,7.063602898729583e-05,0.0002092844803640826
train,sincos_sparse_kernel,delta_x_dot,0.06163720801919275,0.0274414710930076
train,sincos_sparse_kernel,delta_theta,0.0008799368739176159,0.0010822945666397116
train,sincos_sparse_kernel,delta_theta_dot,0.29990684437058185,0.020079816341829974
validation,sincos_affine,delta_x,0.0013421808791376933,0.003976690534167202
validation,sincos_affine,delta_x_dot,0.5446903033056559,0.24250130226777009
validation,sincos_affine,delta_theta,0.023402190865805337,0.028783955727144556
validation,sincos_affine,delta_theta_dot,8.432098105597824,0.5645585771543169
validation,sincos_sparse_kernel,delta_x,0.00010412036681105579,0.000308493798077021
validation,sincos_sparse_kernel,delta_x_dot,0.0861262213679234,0.038344212691819354
validation,sincos_sparse_kernel,delta_theta,0.0010786114825947326,0.0013266580611972154
validation,sincos_sparse_kernel,delta_theta_dot,0.36239017789795436,0.024263294929283023
test,sincos_affine,delta_x,0.0013705585948649455,0.004060769658872329
test,sincos_affine,delta_x_dot,0.544029488196346,0.24220710109768595
test,sincos_affine,delta_theta,0.028332397181762073,0.03484795380057039
test,sincos_affine,delta_theta_dot,10.346418468698564,0.6927290475254114
test,sincos_sparse_kernel,delta_x,8.44338576409191e-05,0.00025016547893275316
test,sincos_sparse_kernel,delta_x_dot,0.07111352309217188,0.031660416669880787
test,sincos_sparse_kernel,delta_theta,0.0011706630059208792,0.0014398785279146104
test,sincos_sparse_kernel,delta_theta_dot,0.3476434383916784,0.02327594893673563
