restart,loss,success,p_x,p_x_dot,p_theta,p_theta_dot,message
10,0.012457067228048103,True,4.435680760983879,4.956391028727481,31.96600394844415,5.131697481356051,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
3,0.012457069304647024,True,4.436430469050087,4.9530896360543455,31.962849814956456,5.130374361020519,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
2,0.012457078134098692,True,4.430951022340569,4.9544557771241635,31.98250655272659,5.131043157200991,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
1,0.012457079226781052,True,4.437635151595244,4.947997045627415,31.95695383509196,5.128348647441484,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
9,0.012457094858107283,True,4.425756221687544,4.9681109885812855,31.972691905225805,5.137129930789378,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
4,0.012457105682112416,True,4.432251285254212,4.973800000708774,31.969624961642946,5.138173489995109,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
0,0.42154166503456214,False,-0.0013718598027203785,0.018210166662117767,-0.007333450008390648,0.03450666472615309,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
8,0.4472043188093331,True,-42.30315362351718,12.842114783767842,57.71955153598114,13.77701726990698,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
7,0.8036122223210882,False,19.71376048506899,-6.2577702430519535,11.02853730319759,-10.620044993731362,ABNORMAL_TERMINATION_IN_LNSRCH
6,0.8654944779358499,True,5.548475087257837,8.023315534212482,12.322030425021206,22.326600925222152,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5,0.9283702313367297,False,-15.427871760979434,-9.223709898682127,6.681235310000749,7.017337117390398,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
