model,raw_mse_mean,std_mse_mean,std_mse_delta_x,std_mse_delta_x_dot,std_mse_delta_theta,std_mse_delta_theta_dot,noise_level,split
affine,2.460895366157097,0.2394841897259314,0.0032038050782122484,0.22159484344738786,0.032020014954797046,0.7011180954233285,0.0,validation_clean
sparse_kernel,0.2961563058756493,0.059317107390003905,0.03713502487397996,0.08780136472049069,0.04076556551182001,0.07156647445372497,0.0,validation_clean
affine,2.8540359979524554,0.2362696191551192,0.003995452635191973,0.23038070136918223,0.03552074745529774,0.6751815751608049,0.0,test_clean
sparse_kernel,0.358575539848779,0.05541985159834199,0.02888448263060939,0.08024788621922059,0.03782998099163623,0.07471705655190175,0.0,test_clean
affine,2.4610776169971516,0.23950001718606295,0.0032063362720863692,0.22159238194075934,0.03202882668200657,0.7011725238493995,0.005,validation_clean
sparse_kernel,0.2578005942125659,0.05383787722536898,0.035499944090202504,0.08199108996652112,0.03658590964940925,0.061274565195343064,0.005,validation_clean
affine,2.8549405297834345,0.23633449205213522,0.00399082265219813,0.23040116766440327,0.03554279456397225,0.6754031833279672,0.005,test_clean
sparse_kernel,0.29839335607110307,0.05084766050425458,0.02906590481915274,0.07940484673218051,0.03495404409431247,0.05996584637137258,0.005,test_clean
affine,2.4606399051582755,0.23944781605804488,0.003222156121413916,0.2214739430849867,0.032036193808322136,0.7010589712174569,0.01,validation_clean
sparse_kernel,0.2948380777578749,0.05241232405177915,0.034414255130900344,0.07050803481394047,0.0301247318284005,0.07460227443387525,0.01,validation_clean
affine,2.8542162519922165,0.2362667354390326,0.003995436757684377,0.23034373107905767,0.03549425861139911,0.6752335153079893,0.01,test_clean
sparse_kernel,0.3398391880430765,0.048805591210160454,0.02624383987232753,0.07362877966846153,0.023531672350557767,0.071818072949295,0.01,test_clean
affine,2.4602445169313456,0.23944589883246836,0.0032049844874602073,0.22150217158333382,0.03214672141908413,0.7009297178399954,0.03,validation_clean
sparse_kernel,0.2714503338804666,0.0506061728876218,0.03122165855728625,0.06800222164235355,0.0354582135487648,0.06774259780208262,0.03,validation_clean
affine,2.853484037856441,0.23632864561340272,0.004027937581123533,0.2307972795924667,0.03550930967386874,0.6749800556061519,0.03,test_clean
sparse_kernel,0.30069727751371733,0.046903987439342244,0.027606865799759364,0.06606635469158484,0.031143914732005718,0.06279881453401906,0.03,test_clean
affine,2.459530166083965,0.23948271729194254,0.003470841204348808,0.22133824865695165,0.032403277444741654,0.700718501861728,0.06,validation_clean
sparse_kernel,0.27897031199821076,0.05087109267404361,0.02571215181007642,0.07085681214866402,0.037332683976842265,0.06958272276059174,0.06,validation_clean
affine,2.854081483751776,0.23627310805657348,0.004301991435464406,0.22999388937535237,0.03555286822851554,0.6752436831869616,0.06,test_clean
sparse_kernel,0.32112037733008936,0.049111336143434034,0.02448329464202582,0.06825677378009473,0.036332607080924256,0.06737266907069134,0.06,test_clean
affine,2.454515926747657,0.23945358037118142,0.003995036297965438,0.2208938255488844,0.033735937411757726,0.6991895222261182,0.1,validation_clean
sparse_kernel,0.31040059136203213,0.054138895456945654,0.03175312950091861,0.06893697530884339,0.03667890288586257,0.07918657413215804,0.1,validation_clean
affine,2.8599974620740047,0.23711786411629346,0.004875852476844079,0.23065537726292723,0.03637454038192627,0.6765656863434762,0.1,test_clean
sparse_kernel,0.37324095070428964,0.05268240579210356,0.027479548768627078,0.06672650757719503,0.035957920886439315,0.08056564593615281,0.1,test_clean
